region,type_sol,culture,rendement_moyen_predit,pluvio_moyenne,stress_hydrique_moyen,max_rendement_region,statut_recommandation
Dakar,Argileux,Mil,579.8566960058355,420.9485714285715,0.7015809548752648,782.1141435782745,CULTURE_VIABLE
Dakar,Dior,Arachide,773.7683579364201,447.9967213114754,0.6399953174786489,782.1141435782745,CULTURE_OPTIMALE
Dakar,Ferralitique,Mil,560.2294031453183,412.8672413793102,0.6881120677652031,782.1141435782745,CULTURE_VIABLE
Dakar,Limoneux,Mil,590.9909293859857,435.475,0.7257916694507003,782.1141435782745,CULTURE_VIABLE
Dakar,Sablonneux,Arachide,769.0854658753988,434.5872727272726,0.6208389650691639,782.1141435782745,CULTURE_OPTIMALE
Dakar,Sablonneux,Mil,589.8444736991617,438.8466666666668,0.7314111140039232,782.1141435782745,CULTURE_VIABLE
Dakar,Argileux,Arachide,751.1378314829866,418.37192982456133,0.597674185246752,782.1141435782745,CULTURE_OPTIMALE
Dakar,Limoneux,Arachide,782.1141435782745,441.91805555555544,0.6313115089303918,782.1141435782745,CULTURE_OPTIMALE
Dakar,Dior,Mil,587.6968670238443,434.77187499999997,0.7246197927743196,782.1141435782745,CULTURE_VIABLE
Dakar,Ferralitique,Arachide,754.949859137547,418.57407407407413,0.5979629633603273,782.1141435782745,CULTURE_OPTIMALE
Kaolack,Limoneux,Arachide,932.1216406333754,700.2594594594594,1.0003706555108767,948.7258015463665,CULTURE_OPTIMALE
Kaolack,Ferralitique,Mil,726.3837100009166,710.3950000000001,1.1839916676282882,948.7258015463665,CULTURE_VIABLE
Kaolack,Ferralitique,Arachide,914.1452061227549,681.3974358974359,0.9734249008007538,948.7258015463665,CULTURE_OPTIMALE
Kaolack,Limoneux,Niebe,667.3336277098372,714.3766666666666,1.428753344217936,948.7258015463665,CULTURE_VIABLE
Kaolack,Sablonneux,Niebe,662.5389826020736,697.6543478260869,1.3953086928181027,948.7258015463665,CULTURE_DECONSEILLE
Kaolack,Argileux,Mil,718.3809092827164,709.6692307692307,1.1827820524191246,948.7258015463665,CULTURE_VIABLE
Kaolack,Ferralitique,Niebe,679.563015033317,714.5875,1.4291749864816665,948.7258015463665,CULTURE_VIABLE
Kaolack,Sablonneux,Arachide,948.7258015463665,713.0631578947368,1.0186616496035927,948.7258015463665,CULTURE_OPTIMALE
Kaolack,Argileux,Niebe,659.3340094387369,689.0142857142858,1.3780285716056824,948.7258015463665,CULTURE_DECONSEILLE
Kaolack,Sablonneux,Mil,720.0824438082218,695.4585365853659,1.159097556660815,948.7258015463665,CULTURE_VIABLE
Kaolack,Dior,Mil,725.6861887021764,691.0088888888887,1.1516814788182577,948.7258015463665,CULTURE_VIABLE
Kaolack,Dior,Niebe,638.8634112139036,685.8666666666667,1.371733335348276,948.7258015463665,CULTURE_DECONSEILLE
Kaolack,Limoneux,Mil,718.6901531359126,710.6279069767443,1.1843798507091612,948.7258015463665,CULTURE_VIABLE
Kaolack,Argileux,Arachide,928.2609340342053,730.8261904761903,1.0440374172869182,948.7258015463665,CULTURE_OPTIMALE
Kaolack,Dior,Arachide,901.7806125853332,688.3749999999999,0.9833928570151329,948.7258015463665,CULTURE_OPTIMALE
Louga,Argileux,Mil,489.70967001175643,361.21791044776126,0.6020298529027114,707.0353621836231,CULTURE_DECONSEILLE
Louga,Ferralitique,Arachide,707.0353621836231,353.4937500000001,0.5049910725404819,707.0353621836231,CULTURE_OPTIMALE
Louga,Ferralitique,Mil,493.9628736299563,342.5355932203391,0.5708926582740526,707.0353621836231,CULTURE_DECONSEILLE
Louga,Sablonneux,Arachide,689.3315207935627,360.7047619047619,0.5152925167764936,707.0353621836231,CULTURE_OPTIMALE
